"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08"
"USW00094726","41.67908","-70.95911","22.4","2021-01-01",,"41","22",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-02",,"51","33",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-03",,"39","27",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-04",,"39","33",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-05",,"37","31",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-06",,"46","32",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-07",,"46","30",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-08",,"41","22",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-09",,"36","26",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-10",,"43","20",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-11",,"41","18",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-12",,"44","20",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-13",,"43","31",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-14",,"49","28",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-15",,"47","30",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-16",,"55","37",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-17",,"46","35",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-18",,"47","31",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-19",,"42","28",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-20",,"40","25",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-21",,"38","18",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-22",,"46","22",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-23",,"33","20",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-24",,"33","18",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-25",,"39","19",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-26",,"40","22",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-27",,"36","32",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-28",,"34","19",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-29",,"19","10",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-30",,"23","7",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-01-31",,"28","5",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-01",,"39","25",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-02",,"42","33",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-03",,"39","31",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-04",,"43","26",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-05",,"45","25",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-06",,"45","28",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-07",,"38","25",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-08",,"32","12",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-09",,"32","10",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-10",,"33","15",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-11",,"34","21",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-12",,"31","14",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-13",,"31","22",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-14",,"39","30",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-15",,"38","33",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-16",,"58","36",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-17",,"40","22",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-18",,"33","28",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-19",,"35","31",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-20",,"35","26",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-21",,"36","15",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-22",,"45","13",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-23",,"46","32",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-24",,"53","37",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-25",,"50","35",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-26",,"45","24",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-27",,"51","33","    1",,,
"USW00094726","41.67908","-70.95911","22.4","2021-02-28",,"46","30","    1",,,
"USW00094726","41.67908","-70.95911","22.4","2021-03-01",,"53","30",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-03-02",,"31","17",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-03-03",,"49","25",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-03-04",,"46","27",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-03-05",,"37","24",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-03-06",,"37","23",,,,
