"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08","WT09"
"USW00094726","41.67908","-70.95911","22.4","2022-01-01",,"54","46",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-02",,"52","36",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-03",,"36","24",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-04",,"32","17",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-05",,"64","19",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-06",,"46","29",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-07",,"33","22",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-08",,"31","10",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-09",,"48","12",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-10",,"42","22",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-11",,"23","5",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-12",,"43","6",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-13",,"47","23",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-14",,"41","20",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-15",,"21","7",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-16",,"36","2",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-17",,"51","36",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-18",,"37","23",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-19",,"48","19",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-20",,"45","23",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-21",,"26","14",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-22",,"31","14",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-23",,"36","12",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-24",,"35","19",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-25",,"44","28",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-26",,"30","13",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-27",,"28","5",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-28",,"36","18",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-29",,"34","12",,"    1",,,"    1"
"USW00094726","41.67908","-70.95911","22.4","2022-01-30",,"23","2",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-01-31",,"30","-6",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-01",,"37","1",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-02",,"45","28",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-03",,"51","35",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-04",,"54","25",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-05",,"27","17",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-06",,"29","11",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-07",,"44","19",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-08",,"43","33",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-09",,"42","27",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-10",,"53","24",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-11",,"53","24",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-12",,"59","41",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-13",,"41","26",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-14",,"26","13",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-15",,"26","7",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-16",,"47","4",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-17",,"59","47",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-18",,"58","26",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-19",,"41","16","    1",,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-20",,"37","17",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-21",,"51","28",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-02-22",,"55","26",,,,,
